CustomerID,SalesOrderNumber,SalesAmount,OrderDate,,,,,,,,,,,,,
15084,SO54147,2419.06,3/9/2013,,,,,,,,,,,,,
14522,SO66951,53.99,9/24/2013,,,,,,,,,,,,,
16190,SO72219,71.97,12/3/2013,,,,,,,,,,,,,
21225,SO47141,2181.5625,2/6/2012,,,,,,,,,,,,,
12188,SO54173,2354.98,3/10/2013,,,,,,,,,,,,,
13314,SO58179,2410.94,5/17/2013,,,,,,,,,,,,,
16466,SO48708,2181.5625,6/27/2012,,,,,,,,,,,,,
22191,SO58150,94.46,5/17/2013,,,,,,,,,,,,,
13185,SO58673,42.28,5/26/2013,,,,,,,,,,,,,
12978,SO61576,50.23,7/5/2013,,,,,,,,,,,,,
19726,SO52739,37.27,2/14/2013,,,,,,,,,,,,,
12655,SO45885,3578.27,10/10/2011,,,,,,,,,,,,,
29317,SO58629,2438.06,5/25/2013,,,,,,,,,,,,,
12370,SO59276,26.97,6/2/2013,,,,,,,,,,,,,
13472,SO60813,2518.98,6/24/2013,,,,,,,,,,,,,
23417,SO55139,1155.48,3/28/2013,,,,,,,,,,,,,
19622,SO62950,36.27,7/28/2013,,,,,,,,,,,,,
11842,SO57885,39.99,5/12/2013,,,,,,,,,,,,,
24079,SO58388,39.98,5/21/2013,,,,,,,,,,,,,
17757,SO67521,24.99,10/1/2013,,,,,,,,,,,,,
20835,SO48940,782.99,7/17/2012,,,,,,,,,,,,,
22716,SO62337,553.97,7/17/2013,,,,,,,,,,,,,
15685,SO47629,2443.35,3/25/2012,,,,,,,,,,,,,
13776,SO54077,33.98,3/8/2013,,,,,,,,,,,,,
19047,SO55711,71.95,4/5/2013,,,,,,,,,,,,,
20536,SO68757,23.97,10/20/2013,,,,,,,,,,,,,
28652,SO45650,3578.27,9/9/2011,,,,,,,,,,,,,
17191,SO62669,2384.07,7/23/2013,,,,,,,,,,,,,
27503,SO63511,21.49,8/3/2013,,,,,,,,,,,,,
21916,SO64203,39.98,8/14/2013,,,,,,,,,,,,,
29155,SO45240,3578.27,7/28/2011,,,,,,,,,,,,,
25435,SO52979,36.59,2/19/2013,,,,,,,,,,,,,
16032,SO53187,21.98,2/23/2013,,,,,,,,,,,,,
17077,SO53722,88.46,3/2/2013,,,,,,,,,,,,,
17468,SO54799,71.95,3/21/2013,,,,,,,,,,,,,
21153,SO66147,1147.77,9/10/2013,,,,,,,,,,,,,
18832,SO72905,2334.98,12/12/2013,,,,,,,,,,,,,
19365,SO73590,2372.95,12/21/2013,,,,,,,,,,,,,
14453,SO50419,1000.4375,11/4/2012,,,,,,,,,,,,,
19433,SO51484,2478.34,1/16/2013,,,,,,,,,,,,,
24681,SO53973,2453.04,3/6/2013,,,,,,,,,,,,,
12355,SO55447,2350.96,3/31/2013,,,,,,,,,,,,,
14683,SO55876,54.99,4/8/2013,,,,,,,,,,,,,
28891,SO64707,38.98,8/21/2013,,,,,,,,,,,,,
11561,SO54189,2294.99,3/11/2013,,,,,,,,,,,,,
20728,SO59507,709.26,6/5/2013,,,,,,,,,,,,,
24123,SO61698,7.28,7/7/2013,,,,,,,,,,,,,
27695,SO72050,1120.49,11/30/2013,,,,,,,,,,,,,
19318,SO72941,1754.98,12/12/2013,,,,,,,,,,,,,
12206,SO46599,3578.27,12/28/2011,,,,,,,,,,,,,
19324,SO49281,782.99,8/11/2012,,,,,,,,,,,,,
11626,SO55856,2380.47,4/7/2013,,,,,,,,,,,,,
28266,SO55517,4.99,4/2/2013,,,,,,,,,,,,,
16616,SO43746,3578.27,1/10/2011,,,,,,,,,,,,,
27755,SO57548,60.47,5/6/2013,,,,,,,,,,,,,
11322,SO58363,2.29,5/21/2013,,,,,,,,,,,,,
20256,SO62333,2451.3,7/17/2013,,,,,,,,,,,,,
13049,SO70076,2351.96,11/4/2013,,,,,,,,,,,,,
15582,SO72709,858.46,12/9/2013,,,,,,,,,,,,,
18511,SO73157,2465.93,12/15/2013,,,,,,,,,,,,,
26192,SO47936,782.99,4/26/2012,,,,,,,,,,,,,
27618,SO63513,68.97,8/3/2013,,,,,,,,,,,,,
16939,SO64758,29.98,8/22/2013,,,,,,,,,,,,,
17985,SO68628,2319.99,10/18/2013,,,,,,,,,,,,,
25906,SO70677,6.28,11/13/2013,,,,,,,,,,,,,
13407,SO58471,2376.96,5/23/2013,,,,,,,,,,,,,
19088,SO52031,2.29,1/31/2013,,,,,,,,,,,,,
23503,SO54789,7.28,3/21/2013,,,,,,,,,,,,,
20923,SO67822,777.34,10/5/2013,,,,,,,,,,,,,
20577,SO72283,2297.28,12/4/2013,,,,,,,,,,,,,
21789,SO57607,14.98,5/7/2013,,,,,,,,,,,,,
11241,SO61171,553.97,6/29/2013,,,,,,,,,,,,,
26138,SO69000,1174.48,10/23/2013,,,,,,,,,,,,,
11974,SO72390,74.98,12/5/2013,,,,,,,,,,,,,
13212,SO46913,2181.5625,1/27/2012,,,,,,,,,,,,,
