CustomerID,SalesOrderNumber,SalesAmount,OrderDate,Quantity
15084,SO54147,2419.06,3/9/2013,121
14522,SO66951,53.99,9/24/2013,3
16190,SO72219,71.97,12/3/2013,4
21225,SO47141,2181.5625,2/6/2012,109
12188,SO54173,2354.98,3/10/2013,118
13314,SO58179,2410.94,5/17/2013,121
16466,SO48708,2181.5625,6/27/2012,109
22191,SO58150,94.46,5/17/2013,5
13185,SO58673,42.28,5/26/2013,2
12978,SO61576,50.23,7/5/2013,3
19726,SO52739,37.27,2/14/2013,2
12655,SO45885,3578.27,10/10/2011,179
29317,SO58629,2438.06,5/25/2013,122
12370,SO59276,26.97,6/2/2013,1
13472,SO60813,2518.98,6/24/2013,126
23417,SO55139,1155.48,3/28/2013,58
19622,SO62950,36.27,7/28/2013,2
11842,SO57885,39.99,5/12/2013,2
24079,SO58388,39.98,5/21/2013,2
17757,SO67521,24.99,10/1/2013,1
20835,SO48940,782.99,7/17/2012,39
22716,SO62337,553.97,7/17/2013,28
15685,SO47629,2443.35,3/25/2012,122
13776,SO54077,33.98,3/8/2013,2
19047,SO55711,71.95,4/5/2013,4
20536,SO68757,23.97,10/20/2013,1
28652,SO45650,3578.27,9/9/2011,179
17191,SO62669,2384.07,7/23/2013,119
27503,SO63511,21.49,8/3/2013,1
21916,SO64203,39.98,8/14/2013,2
29155,SO45240,3578.27,7/28/2011,179
25435,SO52979,36.59,2/19/2013,2
16032,SO53187,21.98,2/23/2013,1
17077,SO53722,88.46,3/2/2013,4
17468,SO54799,71.95,3/21/2013,4
21153,SO66147,1147.77,9/10/2013,57
18832,SO72905,2334.98,12/12/2013,117
19365,SO73590,2372.95,12/21/2013,119
14453,SO50419,1000.4375,11/4/2012,50
19433,SO51484,2478.34,1/16/2013,124
24681,SO53973,2453.04,3/6/2013,123
12355,SO55447,2350.96,3/31/2013,118
14683,SO55876,54.99,4/8/2013,3
28891,SO64707,38.98,8/21/2013,2
11561,SO54189,2294.99,3/11/2013,115
20728,SO59507,709.26,6/5/2013,35
24123,SO61698,7.28,7/7/2013,0
27695,SO72050,1120.49,11/30/2013,56
19318,SO72941,1754.98,12/12/2013,88
12206,SO46599,3578.27,12/28/2011,179
19324,SO49281,782.99,8/11/2012,39
11626,SO55856,2380.47,4/7/2013,119
28266,SO55517,4.99,4/2/2013,0
16616,SO43746,3578.27,1/10/2011,179
27755,SO57548,60.47,5/6/2013,3
11322,SO58363,2.29,5/21/2013,0
20256,SO62333,2451.3,7/17/2013,123
13049,SO70076,2351.96,11/4/2013,118
15582,SO72709,858.46,12/9/2013,43
18511,SO73157,2465.93,12/15/2013,123
26192,SO47936,782.99,4/26/2012,39
27618,SO63513,68.97,8/3/2013,3
16939,SO64758,29.98,8/22/2013,1
17985,SO68628,2319.99,10/18/2013,116
25906,SO70677,6.28,11/13/2013,0
13407,SO58471,2376.96,5/23/2013,119
19088,SO52031,2.29,1/31/2013,0
23503,SO54789,7.28,3/21/2013,0
20923,SO67822,777.34,10/5/2013,39
20577,SO72283,2297.28,12/4/2013,115
21789,SO57607,14.98,5/7/2013,1
11241,SO61171,553.97,6/29/2013,28
26138,SO69000,1174.48,10/23/2013,59
11974,SO72390,74.98,12/5/2013,4
13212,SO46913,2181.5625,1/27/2012,109
11564,SO47231,2049.0982,2/16/2012,102
11331,SO53632,99.53,2/28/2013,5
11751,SO54868,2430.96,3/22/2013,122
27430,SO62709,33.43,7/24/2013,2
23703,SO68215,34.98,10/12/2013,2
27573,SO70583,2419.06,11/11/2013,121
15657,SO46166,3578.27,11/5/2011,179
13705,SO48181,2443.35,5/15/2012,122
12500,SO65682,2403.96,9/4/2013,120
13967,SO73502,1274.33,12/19/2013,64
11467,SO74280,7.95,1/2/2014,0
18736,SO54807,2457.33,3/21/2013,123
17372,SO66254,1729.97,9/12/2013,86
28336,SO64625,138.97,8/20/2013,7
16456,SO65833,64.97,9/6/2013,3
28061,SO69852,2428.05,11/1/2013,121
27264,SO50520,2071.4196,11/16/2012,104
28381,SO66347,92.96,9/14/2013,5
16961,SO69704,2318.96,10/30/2013,116
11468,SO51878,2319.99,1/28/2013,116
11262,SO66099,127.95,9/10/2013,6
11429,SO72122,588.96,12/1/2013,29
28140,SO74101,39.98,12/28/2013,2
28101,SO52542,78.98,2/10/2013,4
14155,SO67778,2414.99,10/5/2013,121
16988,SO72088,4.99,12/1/2013,0
12942,SO56175,2319.99,4/13/2013,116
14854,SO63005,63.97,7/29/2013,3
11755,SO64388,8.99,8/17/2013,0
20931,SO72587,2490.18,12/8/2013,125
13736,SO73465,2297.28,12/19/2013,115
20000,SO45719,3374.99,9/19/2011,169
16319,SO54956,27.28,3/24/2013,1
22730,SO65586,4.99,9/2/2013,0
28067,SO43968,3578.27,2/8/2011,179
29350,SO45443,3578.27,8/15/2011,179
11840,SO57201,49.99,4/30/2013,2
23217,SO61476,563.77,7/3/2013,28
25712,SO71773,562.96,11/28/2013,28
28193,SO73624,2438.06,12/21/2013,122
12795,SO53790,37.27,3/3/2013,2
20603,SO56605,23.78,4/22/2013,1
17687,SO72374,39.98,12/5/2013,2
12339,SO46807,2071.4196,1/13/2012,104
21106,SO57435,1754.98,5/4/2013,88
19586,SO45464,3578.27,8/20/2011,179
20620,SO46534,3578.27,12/19/2011,179
11570,SO54376,2319.99,3/14/2013,116
