CustomerID,SalesOrderNumber,SalesAmount,OrderDate,Quantity,Unit Price
15084,SO54147,2419.06,3/9/2013,60,40.581311290499436
14522,SO66951,53.99,9/24/2013,1,95.31785910894203
16190,SO72219,71.97,12/3/2013,1,74.53942447208348
21225,SO47141,2181.5625,2/6/2012,35,61.872555998718475
12188,SO54173,2354.98,3/10/2013,119,19.82177084203147
13314,SO58179,2410.94,5/17/2013,122,19.81947943193925
16466,SO48708,2181.5625,6/27/2012,207,10.517943155978948
22191,SO58150,94.46,5/17/2013,1,87.28673384861884
13185,SO58673,42.28,5/26/2013,1,62.10592611560484
12978,SO61576,50.23,7/5/2013,1,72.26689489062431
19726,SO52739,37.27,2/14/2013,5,6.955526958101233
12655,SO45885,3578.27,10/10/2011,37,97.14143595538945
29317,SO58629,2438.06,5/25/2013,29,84.08205087604007
12370,SO59276,26.97,6/2/2013,1,25.172215514436235
13472,SO60813,2518.98,6/24/2013,113,22.27337188467456
23417,SO55139,1155.48,3/28/2013,52,22.42342843607621
19622,SO62950,36.27,7/28/2013,1,33.90301308115608
11842,SO57885,39.99,5/12/2013,1,54.851861005062595
24079,SO58388,39.98,5/21/2013,1,46.03477677
17757,SO67521,24.99,10/1/2013,1,32.66676831881398
20835,SO48940,782.99,7/17/2012,12,63.12602499862605
22716,SO62337,553.97,7/17/2013,30,18.251916761943974
15685,SO47629,2443.35,3/25/2012,75,32.75374161084572
13776,SO54077,33.98,3/8/2013,1,39.804375112900715
19047,SO55711,71.95,4/5/2013,1,48.32664850061841
20536,SO68757,23.97,10/20/2013,0,79.59171633233629
28652,SO45650,3578.27,9/9/2011,149,23.969009305044175
17191,SO62669,2384.07,7/23/2013,44,53.85227165
27503,SO63511,21.49,8/3/2013,0,61.27938404189403
21916,SO64203,39.98,8/14/2013,4,9.412789208399783
29155,SO45240,3578.27,7/28/2011,57,62.716760930636646
25435,SO52979,36.59,2/19/2013,2,21.199791750292697
16032,SO53187,21.98,2/23/2013,2,11.179901333601554
17077,SO53722,88.46,3/2/2013,1,95.14412603906666
17468,SO54799,71.95,3/21/2013,1,96.73504314208314
21153,SO66147,1147.77,9/10/2013,14,81.79774807106381
18832,SO72905,2334.98,12/12/2013,69,33.93830807147022
19365,SO73590,2372.95,12/21/2013,166,14.278850830606467
14453,SO50419,1000.4375,11/4/2012,14,70.00213752
19433,SO51484,2478.34,1/16/2013,53,46.81448690526212
24681,SO53973,2453.04,3/6/2013,148,16.593632310253987
12355,SO55447,2350.96,3/31/2013,45,52.04180646057067
14683,SO55876,54.99,4/8/2013,7,8.266909505945748
28891,SO64707,38.98,8/21/2013,0,91.38543819748429
11561,SO54189,2294.99,3/11/2013,78,29.584098252001606
20728,SO59507,709.26,6/5/2013,10,67.93961701
24123,SO61698,7.28,7/7/2013,0,34.61255222849404
27695,SO72050,1120.49,11/30/2013,21,54.406462011892025
19318,SO72941,1754.98,12/12/2013,31,56.937476537611566
12206,SO46599,3578.27,12/28/2011,159,22.561173274925068
19324,SO49281,782.99,8/11/2012,8,97.11053963763307
11626,SO55856,2380.47,4/7/2013,30,78.63761821930588
28266,SO55517,4.99,4/2/2013,0,94.25239944859797
16616,SO43746,3578.27,1/10/2011,40,90.00859829062664
27755,SO57548,60.47,5/6/2013,1,61.80049798705309
11322,SO58363,2.29,5/21/2013,0,92.57805233
20256,SO62333,2451.3,7/17/2013,183,13.406787694932353
13049,SO70076,2351.96,11/4/2013,100,23.618371929818792
15582,SO72709,858.46,12/9/2013,92,9.296592446501116
18511,SO73157,2465.93,12/15/2013,69,35.90638142251011
26192,SO47936,782.99,4/26/2012,19,41.924342520500794
27618,SO63513,68.97,8/3/2013,2,30.778158018520113
16939,SO64758,29.98,8/22/2013,0,83.73006336943328
17985,SO68628,2319.99,10/18/2013,60,38.89156603589098
25906,SO70677,6.28,11/13/2013,0,31.688778420301173
13407,SO58471,2376.96,5/23/2013,42,56.5561279
19088,SO52031,2.29,1/31/2013,0,18.387801372602453
23503,SO54789,7.28,3/21/2013,0,81.20871317163378
20923,SO67822,777.34,10/5/2013,64,12.082311149578228
20577,SO72283,2297.28,12/4/2013,23,98.75425897704915
21789,SO57607,14.98,5/7/2013,0,78.36325308318246
11241,SO61171,553.97,6/29/2013,23,23.87798974574638
26138,SO69000,1174.48,10/23/2013,213,5.524601126742228
11974,SO72390,74.98,12/5/2013,1,82.46883570320925
13212,SO46913,2181.5625,1/27/2012,30,72.15144766552362
11564,SO47231,2049.0982,2/16/2012,28,74.25568096
11331,SO53632,99.53,2/28/2013,1,78.27068293516484
11751,SO54868,2430.96,3/22/2013,202,12.034241914738583
27430,SO62709,33.43,7/24/2013,1,39.05424421
23703,SO68215,34.98,10/12/2013,2,16.00756065488732
27573,SO70583,2419.06,11/11/2013,28,86.99482545818138
15657,SO46166,3578.27,11/5/2011,56,64.21332204861801
13705,SO48181,2443.35,5/15/2012,67,36.43531236100167
12500,SO65682,2403.96,9/4/2013,218,11.038043277172246
13967,SO73502,1274.33,12/19/2013,37,34.54332056298791
11467,SO74280,7.95,1/2/2014,0,35.89241559254097
18736,SO54807,2457.33,3/21/2013,33,74.31258694211608
17372,SO66254,1729.97,9/12/2013,26,65.56795977874525
28336,SO64625,138.97,8/20/2013,2,89.28521054475102
16456,SO65833,64.97,9/6/2013,1,49.860417890385186
28061,SO69852,2428.05,11/1/2013,148,16.36145336413866
27264,SO50520,2071.4196,11/16/2012,28,72.75825478618452
28381,SO66347,92.96,9/14/2013,1,77.27457961860526
16961,SO69704,2318.96,10/30/2013,40,58.32133376910214
11468,SO51878,2319.99,1/28/2013,30,78.2418821
11262,SO66099,127.95,9/10/2013,2,51.91058165461712
11429,SO72122,588.96,12/1/2013,11,54.65961879128943
28140,SO74101,39.98,12/28/2013,1,45.616396744062214
28101,SO52542,78.98,2/10/2013,11,7.414817040689043
14155,SO67778,2414.99,10/5/2013,158,15.249685564363922
16988,SO72088,4.99,12/1/2013,1,7.9857726402397535
12942,SO56175,2319.99,4/13/2013,35,65.45898907005915
14854,SO63005,63.97,7/29/2013,2,34.86381820225104
11755,SO64388,8.99,8/17/2013,0,53.31421566064677
20931,SO72587,2490.18,12/8/2013,27,91.21881502297883
13736,SO73465,2297.28,12/19/2013,80,28.68276176914312
20000,SO45719,3374.99,9/19/2011,77,43.98637768838483
16319,SO54956,27.28,3/24/2013,0,76.77735816158962
22730,SO65586,4.99,9/2/2013,0,26.735825721704135
28067,SO43968,3578.27,2/8/2011,291,12.313091433735334
29350,SO45443,3578.27,8/15/2011,110,32.526388026807965
11840,SO57201,49.99,4/30/2013,2,20.31602228913042
23217,SO61476,563.77,7/3/2013,6,93.32127697254444
25712,SO71773,562.96,11/28/2013,7,81.77143605861961
28193,SO73624,2438.06,12/21/2013,37,65.17335686849023
12795,SO53790,37.27,3/3/2013,0,87.78875606783318
20603,SO56605,23.78,4/22/2013,0,81.34884730541587
17687,SO72374,39.98,12/5/2013,2,22.724155594173403
12339,SO46807,2071.4196,1/13/2012,23,89.79310485654788
21106,SO57435,1754.98,5/4/2013,31,56.23751298198682
19586,SO45464,3578.27,8/20/2011,44,81.70681474058594
20620,SO46534,3578.27,12/19/2011,40,90.12867349273186
11570,SO54376,2319.99,3/14/2013,66,35.210330122327065
15009,SO57935,36.96,5/13/2013,2,15.454932830129293
26872,SO64413,23.78,8/17/2013,1,26.65384044148446
19922,SO50933,782.99,12/13/2012,17,45.57523991949435
23486,SO45926,3578.27,10/16/2011,43,82.71140276263685
17494,SO58548,54.99,5/24/2013,1,86.76940540935263
18901,SO60183,35,6/15/2013,6,5.660452400463117
11627,SO65036,10.24,8/27/2013,0,53.52099374486875
21558,SO65857,2475.95,9/6/2013,55,44.654045299134005
27420,SO52498,69.99,2/9/2013,3,26.100241994719372
22082,SO56183,574.98,4/13/2013,35,16.387209896699865
17387,SO55195,37.27,3/29/2013,1,37.07344128334466
21665,SO56596,553.97,4/21/2013,6,94.57642187168932
29299,SO70247,548.98,11/6/2013,15,35.704278541971746
25952,SO66143,1223.84,9/10/2013,23,54.28510906561978
11219,SO69614,37.29,10/29/2013,1,71.7868011
28401,SO44227,3374.99,3/21/2011,85,39.54481222603293
15317,SO57716,54.98,5/9/2013,1,97.31929785849127
27856,SO67140,578.46,9/26/2013,6,96.43249301950057
20375,SO70142,2366.96,11/5/2013,82,28.919318103409594
14941,SO45149,3578.27,7/14/2011,68,52.23860805977662
27854,SO72165,750.3,12/2/2013,22,33.58343943259312
16575,SO47807,2181.5625,4/10/2012,68,32.05984696585942
19429,SO53342,1155.48,2/25/2013,136,8.504259998680617
11581,SO54503,6.28,3/16/2013,0,62.90861173
18932,SO58024,56.97,5/15/2013,1,52.75450720674184
14641,SO68506,35,10/16/2013,4,9.890481368748988
13102,SO55913,2386.94,4/8/2013,76,31.471414102478086
15123,SO62879,31.27,7/27/2013,0,91.28525917
24465,SO50770,2181.5625,11/28/2012,79,27.75837961336238
27941,SO60805,15.23,6/24/2013,1,18.765012848666196
14325,SO49784,2049.0982,9/24/2012,40,51.49801222636849
26375,SO47770,782.99,4/4/2012,8,98.63679314050707
